name,location,cuisines,rate,cost,online_order,book_table,cuisine_count
Hide Out Cafe,Banashankari,Cafe,3.7,300,No,No,1
CAFE NOVA,Banashankari,"Cafe, Bakery",3.2,600,No,No,2
Coffee Tindi,Banashankari,"Cafe, South Indian",3.8,200,Yes,No,2
Sea Green Cafe,Banashankari,"Cafe, Fast Food, Beverages",3.3,500,No,No,3
Cuppa,Banashankari,"Cafe, Fast Food",3.3,550,No,No,2
Srinathji's Cafe,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",3.8,550,No,No,4
Redberrys,Basavanagudi,"Cafe, Italian",4.0,600,Yes,No,2
Foodiction,Banashankari,"North Indian, Fast Food, Chinese, Burger",2.8,500,Yes,No,4
Sweet Truth,Banashankari,"Bakery, Desserts",3.9,500,Yes,No,2
Ovenstory Pizza,Banashankari,Pizza,3.9,750,Yes,No,1
Faasos,Banashankari,"North Indian, Biryani, Fast Food",4.2,500,Yes,No,3
Behrouz Biryani,Banashankari,Biryani,3.9,650,Yes,No,1
Fast And Fresh,Banashankari,"North Indian, Chinese, Fast Food",2.8,400,Yes,No,3
Szechuan Dragon,Banashankari,"Chinese, Thai, Momos",4.2,600,Yes,No,3
Empire Restaurant,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",4.4,750,Yes,No,4
Maruthi Davangere Benne Dosa,Banashankari,South Indian,4.0,150,Yes,No,1
Chaatimes,Basavanagudi,"Street Food, Fast Food",3.8,200,Yes,No,2
Havyaka Mess,Banashankari,South Indian,3.9,300,No,No,1
McDonald's,Banashankari,"Burger, Fast Food",3.9,500,Yes,No,2
Domino's Pizza,Banashankari,"Pizza, Fast Food",3.9,800,Yes,No,2
Hotboxit,Banashankari,"North Indian, Continental, Italian",3.8,400,No,No,3
Kitchen Garden,Kumaraswamy Layout,"North Indian, Chinese",3.6,300,Yes,No,2
Recipe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",4.0,450,Yes,No,4
Beijing Bites,Rajarajeshwari Nagar,"Chinese, Thai",3.7,850,Yes,No,2
Tasty Bytes,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",3.1,300,Yes,No,4
Petoo,Banashankari,North Indian,3.7,450,No,No,1
Shree Cool Point,Vijay Nagar,"Fast Food, Street Food, Beverages",4.1,150,Yes,No,3
Corner House Ice Cream,Banashankari,"Ice Cream, Desserts",4.3,400,No,No,2
Biryanis And More,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",4.0,750,Yes,No,5
Roving Feast,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",4.0,450,No,No,5
FreshMenu,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",3.9,450,Yes,No,8
Banashankari Donne Biriyani,Banashankari,"Biryani, Fast Food",3.8,300,Yes,No,2
Wamama,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",4.2,800,Yes,Yes,7
Five Star Chicken,Banashankari,"Fast Food, Burger",3.6,200,No,No,2
XO Belgian Waffle,Banashankari,"Desserts, Beverages",3.7,400,Yes,No,2
Peppy Peppers,Banashankari,"Italian, North Indian, Mexican",4.2,800,No,No,3
Goa 0 Km,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",3.6,800,Yes,Yes,5
Chinese Kitchen,Basavanagudi,Chinese,3.8,150,Yes,No,1
1947,Banashankari,"North Indian, Chinese",4.0,850,No,Yes,2
Cake of the Day,Banashankari,Bakery,3.7,150,No,No,1
Kabab Magic,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",4.1,400,Yes,No,4
Namma Brahmin's Idli,Jayanagar,South Indian,3.6,100,Yes,No,1
Gustoes Beer House,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",4.1,1200,No,No,6
Sugar Rush,Banashankari,"Bakery, Desserts",3.8,300,No,No,2
Burger King,Basavanagudi,"Burger, Fast Food, Beverages",3.2,600,Yes,No,3
The Good Bowl,Banashankari,"Italian, North Indian, Biryani",3.6,500,Yes,No,3
The Biryani Cafe,Banashankari,"Biryani, Chinese, Kebab",4.1,300,No,No,3
LSD Cafe,Banashankari,"Chinese, Continental, Italian, North Indian",2.9,700,No,No,4
Rolls On Wheels,Banashankari,"Fast Food, Rolls, Momos",3.6,300,No,No,3
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,South Indian,4.1,150,Yes,No,1
Devanna Dum Biriyani Centre,Banashankari,"Biryani, South Indian",3.6,300,Yes,No,2
Kolbeh,Banashankari,Fast Food,3.7,500,No,No,1
Upahar Sagar,Banashankari,"South Indian, Chinese, North Indian",3.8,350,No,No,3
Kadalu Sea Food Restaurant,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",3.8,500,Yes,No,6
Frozen Bottle,Banashankari,"Beverages, Desserts, Ice Cream",4.2,400,Yes,No,3
Parimala Sweets,Banashankari,"Mithai, Street Food",3.5,200,No,No,2
Vaishali Deluxe,Banashankari,"North Indian, Chinese",3.8,700,No,No,2
The Big O Bakes,Banashankari,"Bakery, Desserts",4.0,300,No,No,2
Meghana Foods,Jayanagar,"Biryani, North Indian, Chinese",4.4,600,Yes,No,3
Krishna Sagar,Banashankari,North Indian,3.5,200,No,No,1
Dessert Rose,Banashankari,Desserts,3.5,500,No,No,1
Chickpet Donne Biryani House,Banashankari,Biryani,3.7,250,No,No,1
Thanco's Natural Ice Creams,Banashankari,Ice Cream,3.2,300,No,No,1
Nandhini Deluxe,Banashankari,North Indian,2.6,600,No,No,1
Vi Ra's Bar and Restaurant,Banashankari,"South Indian, North Indian, Chinese",3.3,800,No,No,3
Kaggis,Banashankari,"Fast Food, Bakery",3.8,250,No,No,2
Ayda Persian Kitchen,Banashankari,"North Indian, Iranian",3.7,950,No,No,2
Chatar Patar,Banashankari,"Fast Food, Street Food",3.7,300,No,No,2
Polar Bear,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",3.8,400,Yes,No,4
Kidambi's Kitchen,Banashankari,South Indian,3.5,300,No,No,1
Mane Thindi,Banashankari,South Indian,3.7,200,No,No,1
Kotian Karavali Restaurant,Banashankari,"South Indian, Biryani",3.5,300,No,No,2
Floured-Baked With Love,Banashankari,Bakery,3.8,400,No,No,1
Cakes & Slices,Banashankari,"Bakery, Desserts",3.5,300,No,No,2
Spice 9,Banashankari,"Biryani, North Indian, Chinese, Fast Food",3.4,300,No,No,4
Naveen Kabab & Biriyani Mane,Banashankari,Biryani,3.2,300,No,No,1
Katriguppe Donne Biryani,Banashankari,North Indian,3.2,300,No,No,1
Atithi Point Ande Ka Funda,Banashankari,North Indian,3.1,150,No,No,1
Just Bake,Banashankari,"Bakery, Desserts",3.4,400,No,No,2
K27 - The Pub,Banashankari,"Chinese, North Indian",3.1,1000,No,No,2
Bengaluru Coffee House,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.1,300,Yes,No,4
New Mangalore Lunch Home,Banashankari,"Mangalorean, South Indian, North Indian",3.3,200,No,No,3
Coffee Bytes,Banashankari,"Fast Food, South Indian",3.1,100,No,No,2
Parjanya Chat Zone,Banashankari,"Street Food, Fast Food",3.3,200,No,No,2
Kwality Wall's Swirl's Happiness Station,Banashankari,"Ice Cream, Desserts",2.9,200,No,No,2
Ruchi Maayaka,Banashankari,South Indian,3.3,100,No,No,1
Anna Kuteera,Banashankari,"South Indian, North Indian, Chinese",4.0,450,Yes,No,3
Darbar,Banashankari,"North Indian, Chinese",3.0,800,No,No,2
Vijayalakshmi,Basavanagudi,South Indian,3.9,200,Yes,No,1
Sri Udupi Food Hub,Jayanagar,"South Indian, North Indian, Chinese, Beverages",4.1,500,Yes,Yes,4
Udupi Upahar,Banashankari,"South Indian, Chinese, North Indian, Juices",3.8,300,Yes,No,4
House Of Kebabs,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",3.8,650,Yes,No,4
Roll N Rock,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",3.8,400,Yes,No,4
BOX8- Desi Meals,Banashankari,"North Indian, Mughlai, Fast Food",4.1,500,Yes,No,3
KFC,Banashankari,"Burger, Fast Food",3.8,450,Yes,No,2
Roll Over,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",4.1,500,Yes,No,5
Imperial Restaurant,Mysore Road,"North Indian, Chinese, Biryani, Beverages",3.7,750,Yes,No,4
Lassi Shop,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",3.9,150,Yes,No,3
The Fortuna,Kumaraswamy Layout,"North Indian, Chinese",3.0,250,Yes,No,2
Wahab,Jayanagar,"North Indian, Mughlai, Chinese",3.7,350,Yes,No,3
Al Diwan Biryanis And More,Basavanagudi,Biryani,3.3,300,Yes,No,1
New Gowda's Fried Chicken,Banashankari,Biryani,3.3,300,Yes,No,1
Canton,Jayanagar,"Chinese, Seafood, Biryani",3.6,800,Yes,No,3
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,"Desserts, Mithai",3.3,300,Yes,No,2
The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages",4.6,400,Yes,No,2
HOT COFFEE,Basavanagudi,"South Indian, Chinese",4.1,150,Yes,No,2
Patio 805,Jayanagar,"Thai, Vietnamese, Asian, Chinese",4.1,1200,Yes,Yes,4
Lassi Corner,Basavanagudi,"Beverages, Ice Cream",3.7,150,Yes,No,2
Sagar Deluxe,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",3.2,300,Yes,No,4
Kanti Sweets,Banashankari,"Mithai, Street Food",4.0,400,Yes,No,2
Vegetalia,Banashankari,"Italian, Pizza",3.7,400,Yes,No,2
Aramane Donne Biryani,Banashankari,Biryani,3.5,200,Yes,No,1
Ande Ka Funda,Banashankari,"North Indian, Fast Food, Rolls",3.8,250,Yes,No,3
Cake Ghar,Basavanagudi,Bakery,3.8,400,Yes,No,1
Energy Addaa,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",4.2,500,Yes,No,7
Bhattara Bhojana,Banashankari,South Indian,3.6,150,Yes,No,1
Tandoori Knight,Banashankari,"North Indian, Chinese, Biryani, Kebab",3.0,450,Yes,No,4
Dev Sagar - Food Street,Basavanagudi,Street Food,4.1,200,Yes,No,1
Mitraa Da Pizza,Kumaraswamy Layout,"Fast Food, Pizza",3.8,250,Yes,No,2
Paradise Premium,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",3.1,700,Yes,No,4
Grazers,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",3.9,650,Yes,Yes,5
Shakes Theory,Jayanagar,"Beverages, Sandwich",4.5,300,Yes,No,2
@Italy,Kumaraswamy Layout,Italian,4.1,700,Yes,No,1
Chilli Flakes,Banashankari,"Fast Food, Italian, Beverages",3.6,500,Yes,No,3
Calcutta Cafe,Kumaraswamy Layout,"Bengali, Chinese, Sandwich",3.5,350,Yes,No,3
Old Mumbai Ice Cream,Banashankari,Ice Cream,3.9,150,Yes,No,1
Donne Biriyani House,Banashankari,"South Indian, North Indian, Chinese, Biryani",3.9,400,Yes,No,4
By 2 Coffee,Basavanagudi,South Indian,3.9,100,Yes,No,1
Kedia's Fun Food,Jayanagar,"North Indian, Street Food, Juices",4.3,200,Yes,No,3
Davangere Butter Dosa Hotel,Kumaraswamy Layout,South Indian,3.8,150,Yes,No,1
Just Shawarma,Kumaraswamy Layout,Arabian,3.9,300,Yes,No,1
Mini Punjabi Dhaba,Banashankari,North Indian,4.2,350,Yes,No,1
Mulabagilu Dosa,Basavanagudi,South Indian,3.6,100,Yes,No,1
Gokul Veg,Basavanagudi,"North Indian, Chinese, Beverages",3.8,750,Yes,No,3
Olive - Era,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",3.3,550,Yes,No,8
Udupi Ruchi,Banashankari,"South Indian, North Indian, Chinese, Street Food",3.9,200,Yes,No,4
Madhappa Hindu Military Hotel,Banashankari,South Indian,3.4,300,Yes,No,1
Gama Gama,Banashankari,South Indian,3.9,200,Yes,No,1
Pizza Hut,Banashankari,"Pizza, Fast Food",3.8,750,Yes,No,2
Mangalore Pearl,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",3.8,650,Yes,No,4
Asha Sweets Centre,Basavanagudi,Fast Food,3.6,250,Yes,No,1
Twiststick House,Basavanagudi,"Continental, Fast Food, Street Food, Momos",4.1,500,Yes,No,4
Cool Corner,Basavanagudi,"Street Food, Fast Food",4.2,250,Yes,No,2
Pizza Mane,Banashankari,"Pizza, Sandwich, Burger, Fast Food",3.5,150,Yes,No,4
Dal Tadkaa,Banashankari,North Indian,2.5,500,Yes,No,1
Chutney Chang,Jayanagar,"North Indian, Chinese, BBQ",4.1,1500,Yes,Yes,3
Mystique Palate,Jayanagar,"Chinese, Fast Food",4.1,300,Yes,No,2
Thamboola,Banashankari,"North Indian, Chinese, Continental",3.9,800,Yes,No,3
Castle Rock,Uttarahalli,"North Indian, Chinese",3.6,700,Yes,No,2
Vietnamese Kitchen,Banashankari,Vietnamese,3.6,700,Yes,No,1
C Corner,Kumaraswamy Layout,"Fast Food, Street Food",3.2,200,Yes,No,2
Paratha Merchant,Kumaraswamy Layout,North Indian,3.1,300,Yes,No,1
North Rasoe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab",3.1,500,Yes,No,4
Toscano,Jayanagar,"Italian, Salad",4.3,1300,Yes,Yes,2
Lord Of The Kitchen,Kumaraswamy Layout,"North Indian, Chinese",3.9,350,Yes,No,2
Stoned Monkey,Banashankari,"Desserts, Ice Cream",4.3,500,Yes,No,2
Central Jail Restaurant,Jayanagar,"Andhra, Seafood, North Indian, Chinese",3.8,700,Yes,No,4
Bella,Jayanagar,"Mangalorean, Seafood, South Indian",3.9,1000,Yes,Yes,3
Vennela Andhra Meals,Jayanagar,Andhra,3.0,400,Yes,No,1
New Prashanth Hotel,Jayanagar,"South Indian, Biryani, Chinese, North Indian",3.6,750,Yes,No,4
The Grillo,Jayanagar,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",2.8,500,Yes,Yes,6
Re Malnad Nati Style Hotel,JP Nagar,South Indian,3.6,400,Yes,No,1
Karma Kaapi,Jayanagar,"Beverages, Tea",4.4,250,Yes,No,2
Tiwari's,Jayanagar,"North Indian, Street Food",3.8,200,Yes,No,2
Pizza Stop,Basavanagudi,"Pizza, Italian",3.8,600,Yes,No,2
Biggies Burger 'n' More,Kumaraswamy Layout,"Cafe, Burger, Beverages",3.6,650,Yes,No,3
Kollapuri's,Basavanagudi,"South Indian, Mangalorean",3.9,450,No,No,2
Kadamba Classic,Mysore Road,South Indian,3.6,300,No,No,1
RS Shiv Sagar,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices",3.7,450,No,No,5
Kholi Mane,Basavanagudi,"Andhra, South Indian, Biryani, North Indian",3.6,450,No,No,4
Harshi Super Sandwich,Basavanagudi,"Fast Food, Street Food",3.8,150,No,No,2
Cake Yard,Basavanagudi,Desserts,3.4,250,No,No,1
Sri Udupi Veg,Jayanagar,South Indian,3.3,250,No,No,1
Cake Art,Basavanagudi,Bakery,3.5,400,No,No,1
Potato House,Uttarahalli,Street Food,3.4,200,Yes,No,1
Matru Sagar,Mysore Road,"South Indian, North Indian",3.7,300,Yes,No,2
Ugadi,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",2.9,700,Yes,No,5
Sri Krishna Sweets,Basavanagudi,"Mithai, Desserts",3.7,250,Yes,No,2
In Time Cane Juice,Kumaraswamy Layout,"Juices, Beverages",3.5,100,Yes,No,2
Subway,Banashankari,"Salad, Fast Food",3.7,600,Yes,No,2
Daal Roti,Kumaraswamy Layout,"North Indian, Chinese",2.9,250,Yes,No,2
The Lassi Park,Jayanagar,"Juices, Desserts",4.1,200,Yes,No,2
Cafe Coffee Day,Jayanagar,"Cafe, Fast Food",3.2,900,Yes,No,2
A2B - Adyar Ananda Bhavan,Mysore Road,"South Indian, North Indian, Chinese, Street Food",3.8,400,Yes,No,4
Srikrishna Bhavan,Banashankari,"South Indian, North Indian, Chinese",3.8,300,Yes,No,3
Green Gardenia,Banashankari,"North Indian, Chinese",3.8,700,Yes,No,2
J Spice,Banashankari,"North Indian, Chinese",3.8,750,Yes,No,2
Karavali Family Restaurant,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",3.5,500,Yes,No,5
Karavali Lunch Home,Kumaraswamy Layout,"South Indian, Mangalorean",3.7,350,Yes,No,2
Hatti Kaapi,Jayanagar,"South Indian, Beverages",4.0,200,Yes,No,2
Kolkata Kathi Roll's,Banashankari,"Fast Food, Rolls",3.6,250,Yes,No,2
Upahara Darshini,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",3.9,600,Yes,No,4
The Chaat Shop,Basavanagudi,Fast Food,2.5,200,Yes,No,1
Anda Ka Funda,Jayanagar,"North Indian, Chinese, Rolls",3.4,250,Yes,No,3
Shri Vinayaka Ice N Juice,Basavanagudi,"Beverages, Fast Food",3.2,150,Yes,No,2
Ibaco,Jayanagar,Desserts,3.9,300,Yes,No,1
Jalaram Sweets,Jayanagar,"Desserts, Mithai",3.8,250,Yes,No,2
Samskruti - Sanman Gardenia,Jayanagar,"North Indian, Chinese, South Indian",4.1,550,Yes,No,3
Bendakaluru Bytes,Vijay Nagar,Fast Food,3.2,300,Yes,No,1
Cocoa Bakes,Banashankari,"Bakery, Desserts",3.6,350,Yes,No,2
Chumma Delicious,Banashankari,"South Indian, Fast Food",3.7,200,Yes,No,2
New Prashanth Hotel,Banashankari,"Biryani, North Indian, Seafood, Andhra",3.9,650,Yes,No,4
Dwaraka Grand,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",3.9,500,Yes,No,4
Gufha - The President Hotel,Jayanagar,"North Indian, Afghani, Mughlai",4.1,1200,Yes,Yes,3
Tanna's Kitchen,Kumaraswamy Layout,"Italian, Chinese, Street Food",3.1,250,Yes,No,3
Shree Mandarathi Grand,Uttarahalli,"South Indian, North Indian",3.7,400,Yes,No,2
Mojo Pizza - 2X Toppings,Banashankari,Pizza,4.2,600,Yes,No,1
Iceberg Icecreams,Basavanagudi,"Desserts, Ice Cream",4.0,250,Yes,No,2
South Kitchen,Basavanagudi,South Indian,4.3,100,Yes,No,1
Chung Wah,Jayanagar,"Chinese, Thai, Momos",3.7,850,Yes,No,3
Shanthi Sagar,Uttarahalli,"South Indian, North Indian, Chinese",3.1,400,Yes,No,3
Millet Mama,Basavanagudi,"South Indian, Healthy Food",3.9,200,Yes,No,2
Bangarpet Chat Express,Basavanagudi,"Street Food, Fast Food",3.3,100,Yes,No,2
Prems Graama Bhojanam,Jayanagar,South Indian,4.3,400,Yes,No,1
Java City,Jayanagar,"Cafe, American, Pizza",2.6,450,Yes,No,3
Kamat Bugle Rock,Basavanagudi,"South Indian, Fast Food",3.9,300,Yes,No,2
Puliyogare Point,Basavanagudi,South Indian,4.2,100,Yes,No,1
Bangalore Agarwal Bhavan,Jayanagar,"Street Food, North Indian, South Indian",3.9,400,Yes,No,3
Rustic Stove,Jayanagar,"North Indian, South Indian, Biryani, Beverages",3.8,900,Yes,No,4
Udupi Ruchi Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.2,200,Yes,No,4
De Thaali,Jayanagar,"North Indian, Chinese, Rolls",3.9,550,Yes,No,3
Just Thindi,Basavanagudi,South Indian,3.6,200,Yes,No,1
Matru Sagar,Banashankari,"South Indian, North Indian, Chinese",3.6,250,Yes,No,3
Vasanth Vihar - Since 1965,Banashankari,"South Indian, Street Food",3.6,150,Yes,No,2
Sea Spice by 7 Star,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",4.0,1200,Yes,Yes,6
Desi Dawat,Kumaraswamy Layout,"North Indian, Fast Food",3.7,400,Yes,No,2
Cafe Aira,Basavanagudi,"Cafe, Continental, Beverages, Desserts",4.1,500,Yes,No,4
Mast Punjabi,Kumaraswamy Layout,"North Indian, Chinese, Rolls, Biryani, Kebab",2.6,400,Yes,No,5
South Grand,Uttarahalli,"South Indian, North Indian, Chinese, Beverages",3.4,400,Yes,No,4
The Pizzeria,Banashankari,"Pizza, Italian, Salad",2.8,800,Yes,No,3
Cafe Zone,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",3.9,300,Yes,No,3
Ruchis Point,Banashankari,"Fast Food, Chinese",3.8,200,Yes,No,2
Firangi Bake,Rajarajeshwari Nagar,"Mexican, Italian",4.0,600,Yes,No,2
The Royal Corner - Pai Viceroy,Jayanagar,"North Indian, Chinese",4.2,900,Yes,Yes,2
Hara Fine Dine,Banashankari,"North Indian, Chinese",4.0,800,Yes,Yes,2
Chocoberry,Jayanagar,"Ice Cream, Desserts, Beverages",3.5,400,Yes,No,3
Dakshin Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",3.0,300,Yes,No,4
Sandwichwallas,Jayanagar,Fast Food,3.7,200,Yes,No,1
Chai Mane,Basavanagudi,"Juices, Fast Food",3.6,150,Yes,No,2
SLV Upachar,Kumaraswamy Layout,"South Indian, Chinese, Street Food",3.1,250,Yes,No,3
Waffle-A-Go Go,Banashankari,"Fast Food, Desserts, Ice Cream",3.9,400,Yes,No,3
Cross Road Cafe,Jayanagar,"Cafe, Fast Food, Chinese",3.9,300,Yes,No,3
Anand Donne Biriyani,Jayanagar,Biryani,3.6,200,Yes,No,1
Seven Star,Banashankari,"North Indian, Chinese",3.4,250,Yes,No,2
Stop 'N' Joy,Banashankari,Fast Food,3.8,150,Yes,No,1
Sri Yaksha Shiv Sagar,Banashankari,"North Indian, Chinese",3.6,600,Yes,No,2
Fudge,Basavanagudi,"Desserts, Momos",3.8,200,Yes,No,2
Just Bunny,Jayanagar,Fast Food,3.5,200,Yes,No,1
Bakers Town,Kumaraswamy Layout,"Cafe, Continental, Fast Food",3.8,650,Yes,No,3
Shree Mahalakshmi Sweets,Banashankari,"Mithai, Street Food",3.2,100,Yes,No,2
Kaapi Kendra,Jayanagar,South Indian,3.7,100,Yes,No,1
Ivy,Kumaraswamy Layout,"North Indian, Chinese, Fast Food",3.8,600,Yes,No,3
The Airos,Jayanagar,"Cafe, Italian, Pizza",4.1,650,Yes,No,3
Chai Kraft,Jayanagar,"Beverages, Tea",4.1,100,Yes,No,2
South Point Pub,Basavanagudi,"North Indian, Seafood, Chinese",3.4,800,Yes,No,3
The Trundle,Jayanagar,"Chinese, Thai, Continental, North Indian",3.7,700,Yes,No,4
The Krishna Grand Xpress,Jayanagar,"South Indian, Fast Food",4.0,350,Yes,No,2
Sri Krishna Darshini,Basavanagudi,"South Indian, North Indian, Chinese",3.1,200,Yes,No,3
Shringar Sweets & Snacks,Basavanagudi,"Mithai, South Indian, Street Food, Fast Food",3.5,200,Yes,No,4
Udupi Grand,Basavanagudi,"South Indian, North Indian, Chinese",3.8,300,Yes,No,3
Ganesh Grand,Basavanagudi,"South Indian, North Indian, Desserts",3.7,300,Yes,No,3
Shreyas Upahar & Burger Point,Basavanagudi,"South Indian, Burger",3.0,200,Yes,No,2
Little Cafe,Basavanagudi,"Cafe, Beverages",3.7,600,Yes,No,2
Mumbai Badam Milk & Lassi Center,Basavanagudi,"Beverages, Desserts",3.6,100,Yes,No,2
Sri Krishna Sagar,Banashankari,"North Indian, Chinese",3.2,400,Yes,No,2
Mylari Biryani Family Restaurant,Banashankari,"Biryani, Fast Food",3.7,400,Yes,No,2
1980s Games Cafe,Basavanagudi,"Cafe, Fast Food",3.4,400,Yes,No,2
Kadala Tarangaa,Banashankari,"Mangalorean, Seafood, North Indian",3.6,600,Yes,No,3
Namma Biryani,Banashankari,"Biryani, Chinese, North Indian",3.6,250,Yes,No,3
Nandhanu's Rasoi,Kumaraswamy Layout,"Chinese, North Indian",3.0,400,Yes,No,2
Hotel Pork Paradise,Mysore Road,South Indian,3.7,300,Yes,No,1
As On Fire,South Bangalore,"Pizza, Fast Food, BBQ",3.5,400,Yes,No,3
J K Fish Land,Jayanagar,"Seafood, Mangalorean",3.6,300,Yes,No,2
Curry Leaves,Basavanagudi,"Andhra, North Indian, Chinese",4.1,800,Yes,No,3
Lassi Shop,Banashankari,"Beverages, Ice Cream, Fast Food",3.5,300,Yes,No,3
Magic Meals,Jayanagar,"Fast Food, Desserts, Beverages",3.7,400,Yes,No,3
Desi Cream Junction,Jayanagar,"Chinese, North Indian, Pizza, Italian",3.7,650,Yes,Yes,4
Drunken Monkey,Kumaraswamy Layout,"Beverages, Fast Food",3.8,400,Yes,No,2
Ruchi's Corner,Banashankari,Fast Food,2.7,200,Yes,No,1
Tandoori Bytes,Kumaraswamy Layout,North Indian,3.6,700,Yes,No,1
Bangalore Donne Biriyani,Kumaraswamy Layout,"South Indian, Biryani",3.2,300,Yes,No,2
SGS Non Veg - Gundu Pulav,Banashankari,"Biryani, Fast Food",3.8,400,Yes,No,2
Keventers,Banashankari,"Desserts, Beverages, Ice Cream",3.7,400,Yes,No,3
Navi Food Point,Basavanagudi,Fast Food,3.6,200,Yes,No,1
Shawarma Inc,Banashankari,"Rolls, Lebanese",3.1,250,Yes,No,2
The Cafe Nuts and Bolts,Kumaraswamy Layout,"Cafe, Fast Food, Chinese",3.0,500,Yes,No,3
AM WOW,Jayanagar,Beverages,3.4,100,Yes,No,1
Lalbagh Grand,Basavanagudi,"South Indian, North Indian, Chinese",3.0,250,Yes,No,3
Funjabi Curries,Banashankari,North Indian,2.9,500,Yes,No,1
Eat Repeat,Basavanagudi,South Indian,3.9,150,Yes,No,1
